Company,Title,Location,URL,Source,Description
Kantox,"We offer a hybrid working model, which means that we combine working from home with days in the office. We like flexibility!",,https://www.kantox.com/careers#job-openings,careers,"We offer a hybrid working model, which means that we combine working from home with days in the office. We like flexibility!"
Josh.ai,Lutron RadioRA3Lutron Ketra LightingLutron RadioRA 2 LightingQSX processor for HomeWorksLutron Caseta LightingLutron Caséta pro LightingLutron RadioRA 2 Select LightingLutron Homeworks QS Lighting Crestron SIMPL LightingVantage InFusionCrestron Home LightingControl4 LightingGoveeWizNanoleafPhilips HueOeloAutonomicPioneer EliteAudioControlYamahaDenonMarantzSonySonosOnkyoLyngdorf AudioIntegraMeridianAnthemSteinway LyngdorfOrigin AcousticsAppleTVDishRokuComcast XfinityKaleidescapeXfinityDish NetworkYoutubePrime VideoPeacockHBO MaxDisney+NetflixHuluUbiquitiZhejiang Dahu TechnologyVision Hi TechVivotek CamerasMerit Li-Lin CamerasAxis CamerasArecont CamerasLuma CamerasSnapAV CamerasMobotix CamerasIC Realtime CamerasD-Link CamerasUniviewSony Smart TVBarco ProjectorSamsung ProjectorsGlobal Cache IR ControlSony ProjectorRoku TVPlanar TVsSamsung Smart TVLG Smart TVFurrionShades via Vantage InFusionHunter Douglas ShadesSomfy Tahoma ShadesBond Bridge ShadesControl4 ShadesLutron Shade ControlsCrestron Home ShadesCrestron SIMPL ShadesGoogle NestHoneywellEcobeeControl4 ThermostatAprilaire ThermostatCrestron SIMPL ThermostatCrestron Home ThermostatLutron ThermostatAmerican StandardNexiaResideo: Honeywell HomeBelkin Wemo Smart SwitchShellyWattbox IP SwitchesTP-Link SwitchesLutron Smart SwitchCrestron Simpl SwitchesControl4 SwitchesSchlage2NDoorbirdYaleAugustCrestron HomeSonos SpeakersMusic Streaming ServicesDenon Heos SpeakersHeos LinkSonos PortAutonomic StreamerBluOSWiiMAtlona Matrix SwitcherControl4 Matrix SwitcherCrestron Matrix SwitcherAV Pro Matrix SwitcherSonance Matrix SwitcherAudioControl Matrix SwitcherBig Ass FansBond Bridge Fan ControlControl4 Fan ControlCrestron Fan ControllersLutron Fan ControlAVA Cinema RemoteCrestron RemoteAVA RX1Lutron FireplacesHearth & HomeGenieLutron Garage Door OpenerDoorbird Door stations2N Door stationsControl4Elk - M1QolsysIport Ipad MountXSPOTSeelessTrufigWall-SmartControl Systems,,https://www.josh.ai/devices,careers,Lutron RadioRA3Lutron Ketra LightingLutron RadioRA 2 LightingQSX processor for HomeWorksLutron Caseta LightingLutron Caséta pro LightingLutron RadioRA 2 Select LightingLutron Homeworks QS Lighting Cre
L3Harris,"Senior Specialist, Materials Program Management","Anaheim, California",https://careers.l3harris.com/en/job/anaheim/senior-specialist-materials-program-management/4832/84922606000,careers,"Senior Specialist, Materials Program Management
Program Management
Anaheim, California"
L3Harris,"Specialist, Program Management","Anaheim, California",https://careers.l3harris.com/en/job/anaheim/specialist-program-management/4832/84922606016,careers,"Specialist, Program Management
Program Management
Anaheim, California"
L3Harris,Remote,Use My Location,https://careers.l3harris.com/search-jobs/remote,careers,"Use My Location
Remote
Select a Country

Select a Country
Australia
Canada
India
Japan
Republic of Korea
Saudi Arabia
Singapore
Taiwan
United Arab Emirates
United Kingdom
United States



L3Harris has"
L3Harris,"Director, Program Management - Spectral Solutions","Fort Wayne, IN",https://careers.l3harris.com/en/job/fort-wayne/director-program-management-spectral-solutions/4832/84910973216,careers,"Director, Program Management - Spectral Solutions
Program, Management
Fort Wayne, IN"
L3Harris,"Assoc, Program Management (Melbourne, FL)","Melbourne, FL",https://careers.l3harris.com/en/job/melbourne/assoc-program-management-melbourne-fl/4832/84744300784,careers,"Assoc, Program Management (Melbourne, FL)
Program, Management|New, Grads
Melbourne, FL"
L3Harris,"Senior Manager, Program Management - Special Communications Business Area","Herndon, VA",https://careers.l3harris.com/en/job/herndon/senior-manager-program-management-special-communications-business-area/4832/84911005360,careers,"Senior Manager, Program Management - Special Communications Business Area
Program, Management
Herndon, VA"
L3Harris,"Associate, Program Management (Mason, OH)","Mason, OH",https://careers.l3harris.com/en/job/mason/associate-program-management-mason-oh/4832/84772909344,careers,"Associate, Program Management (Mason, OH)
Program, Management|New, Grads
Mason, OH"
Magnet Forensics,Digital Program Manager,,https://jobs.lever.co/magnetforensics/d32bcbad-10de-42b0-b38a-7c8a289169dc,careers,"Digital Program Manager


Canada






Director, Technical Support – Mobile Access & Extraction


Waterloo / Ontario






Electrical Engineer


United States






Electrical Test Engineer


Atlanta,"
Planning Pod,"Task managers for tracking project management flow, deadlines and milestones",,https://www.planningpod.com/company/careers.aspx,careers,"Task managers for tracking project management flow, deadlines and milestones"
Planning Pod,"Data security and privacy like at-rest and in-transit data encryption, server-side firewall protection, daily remote backups and PCI payment compliance.",,https://www.planningpod.com/company/careers.aspx,careers,"Data security and privacy like at-rest and in-transit data encryption, server-side firewall protection, daily remote backups and PCI payment compliance."
Sardine,Product Manager - Device Intelligence & Behavior Biometrics,,https://www.sardine.ai/careers#openings,careers,Product Manager - Device Intelligence & Behavior Biometrics
Sardine,ArgentinaBrazilCanadaEuropeFranceIndiaRemoteRemote (USA)UKUSA,,https://www.sardine.ai/careers#openings,careers,ArgentinaBrazilCanadaEuropeFranceIndiaRemoteRemote (USA)UKUSA
Sardine,Product Manager - Device Intelligence & Behavior BiometricsProduct,,https://www.sardine.ai/job-listings/product-manager-device-intelligence-behavior-biometrics,careers,Product Manager - Device Intelligence & Behavior BiometricsProduct
Snowflake,"slide 2  of 2  ""I like that I'm able to work on features that customers will actually see and use as an intern, and my team is fantastic. It's definitely been tricky figuring out the transition to remote, but I think that Snowflake has done it pretty well -- the team morale and intern events still let me get to know others outside of work!” AMY XU Software Engineer Intern",,https://careers.snowflake.com/us/en/university,careers,"slide 2  of 2  ""I like that I'm able to work on features that customers will actually see and use as an intern, and my team is fantastic. It's definitely been tricky figuring out the transition to rem"
Team Rubicon (non profit),Remote - anywhere within the USA,,https://teamrubiconusa.org/about-us/careers/,careers,Remote - anywhere within the USA
Team Rubicon (non profit),Remote - anywhere within Georgia (GA) or Florida (FL),,https://teamrubiconusa.org/about-us/careers/,careers,Remote - anywhere within Georgia (GA) or Florida (FL)
Team Rubicon (non profit),"Hybrid - based in Los Angeles, CA",,https://teamrubiconusa.org/about-us/careers/,careers,"Hybrid - based in Los Angeles, CA"
Tenemos,Hybrid working,,https://www.temenos.com/careers/,careers,"Hybrid working We’ve always had a flexible approach to letting people decide how and where they work but since the pandemic, we’ve introduced hybrid working. We believe that a hybrid approach combines"
Twilio,"We welcome builders of every persuasion at Twilio. If you see a position that sparks your imagination, please apply. Come help us grow a global, remote-first company where all feel proud to belong and do their best.",,https://www.twilio.com/en-us/company/jobs,careers,"We welcome builders of every persuasion at Twilio. If you see a position that sparks your imagination, please apply. Come help us grow a global, remote-first company where all feel proud to belong and"
Replicant,Remote-friendly,,https://www.replicant.com/careers,careers,"Remote-friendlyFrom the Bay to New Brunswick—we have employees across the world, so you can work wherever works for you!"
CertifiD,Hybrid environment with opportunities to collaborate with each team member,,https://www.certifid.com/company/careers,careers,Hybrid environment with opportunities to collaborate with each team member
CertifiD,"Remote, US",,https://www.certifid.com/company/careers,careers,"Remote, US"
